key	query	seed_ortholog	evalue	score	eggNOG_OGs	description	preferred_name	GOs	KEGG_ko	KEGG_pathway	brite	PFAMs
900	AJI77574.1	548476.cauri_0001	0.0	897.0	COG0593@1|root,COG0593@2|Bacteria,2GJKI@201174|Actinobacteria,22K26@1653|Corynebacteriaceae	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006172,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009133,GO:0009135,GO:0009136,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009179,GO:0009180,GO:0009185,GO:0009188,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016311,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030312,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046031,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090304,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990837	ko:K02313	ko02020,ko04112,map02020,map04112	ko00000,ko00001,ko03032,ko03036	Bac_DnaA,Bac_DnaA_C
900	AJI77575.1	548476.cauri_0002	5.15e-269	740.0	COG0592@1|root,COG0592@2|Bacteria,2GJK3@201174|Actinobacteria,22KHP@1653|Corynebacteriaceae	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
900	AJI77576.1	548476.cauri_0003	2.36e-251	693.0	COG1195@1|root,COG1195@2|Bacteria,2GJCS@201174|Actinobacteria,22K5B@1653|Corynebacteriaceae	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP	recF	GO:0000731,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0018130,GO:0019438,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0071944,GO:0090304,GO:1901360,GO:1901362,GO:1901576	ko:K03629	ko03440,map03440	ko00000,ko00001,ko03400	SMC_N
900	AJI77577.1	548476.cauri_0004	3.83e-123	351.0	COG5512@1|root,COG5512@2|Bacteria,2GNQ4@201174|Actinobacteria,22N7D@1653|Corynebacteriaceae	Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	-	-	-	-	-	DUF721
900	AJI77578.1	548476.cauri_0005	0.0	1263.0	COG0187@1|root,COG0187@2|Bacteria,2GKGP@201174|Actinobacteria,22JZW@1653|Corynebacteriaceae	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0034335,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360	ko:K02470	-	ko00000,ko01000,ko03032,ko03400	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
900	AJI77579.1	548476.cauri_0006	1.63e-83	248.0	2E4IQ@1|root,32ZDS@2|Bacteria,2IJ3H@201174|Actinobacteria,22NXG@1653|Corynebacteriaceae	-	-	-	-	-	-	-
900	AJI77580.1	548476.cauri_0007	2.34e-73	223.0	2ATCD@1|root,31IVF@2|Bacteria,2HN8I@201174|Actinobacteria,22PMM@1653|Corynebacteriaceae	-	-	-	-	-	-	-
900	AJI77581.1	548476.cauri_0009	0.0	1601.0	COG0188@1|root,COG0188@2|Bacteria,2GJ2Q@201174|Actinobacteria,22JI8@1653|Corynebacteriaceae	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrA	GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0030312,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034335,GO:0034641,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044464,GO:0046483,GO:0046872,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0097159,GO:0097367,GO:0140097,GO:1901265,GO:1901360,GO:1901363	ko:K02469	-	ko00000,ko01000,ko03032,ko03400	DNA_gyraseA_C,DNA_topoisoIV,Intein_splicing,LAGLIDADG_3
900	AJI77582.1	548476.cauri_0010	9.49e-65	198.0	29W7N@1|root,30HSW@2|Bacteria,2I2MD@201174|Actinobacteria,22NXH@1653|Corynebacteriaceae	Transmembrane domain of unknown function (DUF3566)	-	-	-	-	-	DUF3566
900	AJI77583.1	1121362.A605_12160	8.03e-31	134.0	2AYC3@1|root,31QEU@2|Bacteria,2HSH5@201174|Actinobacteria,22QYY@1653|Corynebacteriaceae	-	-	-	-	-	-	-
900	AJI77584.1	548476.cauri_0013	1.35e-134	390.0	COG0726@1|root,COG0726@2|Bacteria,2GN6G@201174|Actinobacteria,22KAE@1653|Corynebacteriaceae	Polysaccharide deacetylase	-	-	ko:K01181,ko:K22278	-	ko00000,ko01000	Polysacc_deac_1
900	AJI77585.1	548476.cauri_0014	3.54e-95	279.0	COG0454@1|root,COG0456@2|Bacteria,2IHXM@201174|Actinobacteria,22NNZ@1653|Corynebacteriaceae	Acetyltransferase	-	-	-	-	-	Acetyltransf_1
900	AJI77586.1	548476.cauri_0015	0.0	915.0	COG1132@1|root,COG1132@2|Bacteria,2GJ8B@201174|Actinobacteria,22KE0@1653|Corynebacteriaceae	ABC-type multidrug transport system, ATPase and permease components	tetB	-	ko:K06148	-	ko00000,ko02000	ABC_membrane,ABC_tran
900	AJI77587.1	548476.cauri_0016	1.59e-316	869.0	COG1132@1|root,COG1132@2|Bacteria,2GJAP@201174|Actinobacteria,22K0V@1653|Corynebacteriaceae	ABC-type multidrug transport system, ATPase and permease components	tetA	-	ko:K02021	-	ko00000,ko02000	ABC_membrane,ABC_tran
900	AJI77588.1	548476.cauri_0017	4.37e-39	130.0	2BGBX@1|root,32A9J@2|Bacteria,2HTUM@201174|Actinobacteria,22PE9@1653|Corynebacteriaceae	-	-	-	-	-	-	-
900	AJI77589.1	548476.cauri_0018	4.6e-71	228.0	2ATBD@1|root,31IUE@2|Bacteria,2HN7U@201174|Actinobacteria,22MM0@1653|Corynebacteriaceae	-	-	-	-	-	-	-
900	AJI77590.1	548476.cauri_0019	1.1e-205	570.0	COG0685@1|root,COG0685@2|Bacteria,2GJTN@201174|Actinobacteria,22KCN@1653|Corynebacteriaceae	reductase	metF	-	ko:K00297	ko00670,ko00720,ko01100,ko01120,ko01200,ko01523,map00670,map00720,map01100,map01120,map01200,map01523	ko00000,ko00001,ko00002,ko01000	MTHFR
